Basque (eu),Spanish (es)
"""Deustuko Informatikako Ingeniaritza: 3. tokia espainiar unibertsitateen artean, Europako Batzordeko U-Multirank-en arabera.""","""Deusto: 3ª mejor universidad en Informática, según el U-Multirank para España de la Comisión Europea"""
"– Aurrekontu banakatua, bere baitan hartuz aholkularitza edo/eta ingeniaritza kostuak, sistemaren lizentziak eta mantenimendua, eta hardwarea (hala badagokio).","– Desglose del presupuesto que incluya costes de consultoría y/o ingeniería, licencias del sistema y mantenimiento, y hardware (si proceden)."
Kudeaketa edo Sistemen Informatikan Ingeniaritza Teknikoa gradura egokitzeko online ikastaroa lan esperientzia duten profesionalei honako hau eskaintzen die:,El curso de adaptación de Ingeniería Técnica en Informática de Sistemas ó Gestión a grado online es un curso específico para profesionales con experiencia laboral que te permite:
"Menua Webgunearen menua ireki/itxi Aurkezpena elektronikoak fabrikatzeko bi areto garbi ditu, Bizkaia Teknologia Parkean (200 m2) eta Bilboko Ingeniaritza Eskolan (90 m2).","El instituto dispone de dos salas blancas para fabricación de dispositivos electrónicos, en el Parque tecnológico de Bizkaia (200 m2) y en la escuela de ingeniería de Bilbao (90 m2) además de laboratorios de caracterización óptica y eléctrica de dispositivos y de un taller mecánico."
"Ondoan. Instalazioen Ingeniaritza. 150 proiektu baino gehiago garatu ditu ospitale, zentro sanitario eta sozio-sanitarioetan, klimatizazio arloan, suteen aurkako babesean, mantentze-lanetan eta higienizazioan, besteak beste.","Ondoan, empresa de ingeniería de instalaciones, cuenta con más de 150 proyectos realizados en hospitales, centros sanitarios y socio-sanitarios en climatización, protección contra incendios, mantenimiento e higienización entre otros."
"Apirilaren 15ean proiektuko kideak elkartu egin ziren ekimenaren jardute eremu guztiak aztertzeko, esaterako hauek: instalazioen eta makinaren diseinua; mekanizazio prozesuen berringeniaritza; kalitatea ziurtatzeko monitorizazio metodologien ezarpena; eta emaitzen integrazioa.","Los socios del proyecto se reunieron el viernes 15 de abril para analizar las diferentes áreas de actuación de la iniciativa como el diseño de instalaciones y máquina, la reingeniería de procesos de mecanizado, la implementación de metodologías de monitorización para asegurar la calidad y la integración de los resultados."
Ingeniaritza Fisikoa Doktorego Programa,Máster Universitario en Ingeniería Física
Bizintek ingeniaritzako zuzendari nagusi Daniel del Ríok esan du bi arrazoigatik sortu zela sariketa hau: “Azken urte honetan hazkunde garrantzitsua lortu dugu enpresa gisa eta talentu asko erreklutatu behar izan dugu.,"Según el CEO de Bizintek, Daniel del Río, el origen de estos premios tiene una doble motivación: “La primera es que en el último año hemos tenido un crecimiento importante como empresa y hemos tenido que reclutar bastante talento."
Ingeniaritza mekanikoa - ARITU,Ingeniería mecánica - ARITU
"Informatikako Ingeniaritzako gradua hirugarren tokian dago, Europako Batzordearen U-multirank ranking-ean.","Deusto: 3ª mejor universidad en Informática, según el U-Multirank para España de la Comisión Europea Ver noticia"
"Ingeniaritza eta Arkitektura Industria Elektronikaren eta Automatikaren Ingeniaritza, Ingeniaritza Mekanikoa, Ingeniaritza Elektrikoa, Kudeaketaren eta Informazio Sistemen Informatikaren Ingeniaritza, Goematika eta Topografia Ingeniaritza, Ingeniaritza Zibila, Meatzaritza eta Energia Ingeniaritza, Telekomunikazioaren Ingeniaritza, Industria Antolakuntzaren Ingeniaritza, Industria Teknologiaren Ingeniaritza, Kimika Ingeniaritza, Informatikaren eta Konputagailuen Ingeniaritza, Kimika Ingeniaritza, Ingeniaritza Elektronikoa.","Grado en Ingeniería Electrónica Industrial y Automática, Ingeniería Mecánica, Ingeniería Eléctrica, Ingeniería Química Industrial, Ingeniería Informática y de Gestión de Sistemas de Información, Ingeniería Geomática y Topografía, Ingeniería en Edificación, Ingeniería Civil, Ingeniería de Minas y Energía, Ingeniería Técnica de Telecomunicación, Ingeniería en Organización Industrial, Ingeniería Ambiental, Ingeniería Marítima, Ingeniería Náutica y Transporte Marítimo, Arquitectura, Ingeniería Informática, Ingeniería Informática y de Computadores, Ingeniería Química, Ingeniería Electrónica."
"Hala ere, argia oso-oso bizkorra izan arren, zientzialariek ez dute lortu oraindik nanoingeniaritzaren bitartez, erabilitako bolumen txiki horietara behar bezala egokitzerik.","Sin embargo, a pesar de que la luz es muy rápida, los científicos todavía no han conseguido que se ajuste bien a los pequeños volúmenes que se emplean mediante nanoingeniería."
· Alderantzizko ingeniaritza,· La ingeniería inversa
"Doktorego programa hau abalatzen duten ikertaldeek beren espezializazioa guztia elikagaien kalitate eta segurtasunerako oso garrantzitsuak diren esparru desberdinen zerbitzura jartzen dute, hala nola kimika, biokimika, biologia, mikrobiologia, teknologia eta ingeniaritzaren arloak.","Los diferentes grupos de investigación que avalan este programa de doctorado aportan su especialización en campos muy importantes y complementarios para la calidad y seguridad de los alimentos, como son las áreas de la química, bioquímica, biología, microbiología, tecnología e ingeniería."
"(Beste leiho bat zabalduko du)Bilboko Ingeniaritza Eskola - iluna (Ingelesa) (jpg,212.71 Kb)","(Abre una nueva ventana)Escuela de Ingeniería de Bilbao (inglés) - negro (jpg,212,71 Kb)"
Informatika Ingeniaritza Graduari dagokionez ondoren ‘Kredituen aitortza eta transferentziarako sistemaren esparru araudia’ jasotzen da Inskripzioa Ate irekiak,En relación al Grado en Ingeniería en Informática a continuación se recoge el ‘Marco normativo del sistema de reconocimiento y transferencia de créditos’ Inscripción Puertas abiertas
"UPV/EHUko Zitek programak, BEAZek eta Bizkaiko Foru Aldundiak antolatutako jokoa da, eta kultura ekintzailea Bizkaiko Campusean bultzatzea du helburu. Ikasleei aukera ematen die enpresen sorrerari lotutako gaietan heziko dituen joko batean era ludiko eta jostagarrian parte hartzeko. Jokoa martxoan egin da, eta finala apirilaren 12an, Portugaleteko Ingeniaritza Eskolan.",Un juego organizado Ofrece al alumnado la posibilidad de participar en un juego que les forme sobre temas relacionados con la creación de empresas de una forma lúdica y entretenida. El juego ha tenido lugar durante el mes de marzo y la final se ha celebrado el 12 de abril en la Escuela de Ingeniería de Portugalete.
"Masterraren bidez, zuzenean sar daiteke Ingeniaritza Fisikoa doktorego programara.",Este máster da acceso directo al Programa de Doctorado de Ingeniería Física.
BILBOKO INGENIARITZA ESKOLAKO STUDENT FORMULAKO AUTO BERRIA ARRATSALDEAN AURKEZTUKO DA SAN MAMES ALDAMENEKO ERAKUSTALDI BATEAN,EL NUEVO MONOPLAZA FORMULA STUDENT DE LA ESCUELA DE INGENIERÍA DE BILBAO SE PRESENTA ESTA TARDE CON UNA EXHIBICIÓN JUNTO AL ESTADIO DE SAN MAMÉS
Kontaktua - Vitoria-Gasteizko Ingeniaritza Eskola - UPV/EHU,Contacto - Escuela de Ingeniería de Vitoria-Gasteiz - UPV/EHU
"Hezkuntza praktikoa, zientzia, teknologia, ingeniaritza eta matematikak biltzen egungo gizarte-erronkak konpontzeko baliabide gisa duten eginkizuna zein den definitzea da asmoa.","La intención no es otra que incidir en una educación práctica que integra la ciencia, la tecnología, la ingeniería y las matemáticas para resolver los retos sociales actuales."
Ingeniaritza Duala: Izen ematearen 2. deialdia Data:,Ingeniería Dual: 2º convocatoria de inscripción y acceso
Ingeniaritza Dualaren Graduko 5. promozioko enpresetako tutoreekin egindako topaketa,Encuentro con los tutores de empresa de la 5ª promoción del Grado de Ingeniería Dual
Berria Home / Albistea / Ingeniaritza alorreko eta lehen mailako enpresek parte hartuko dute Pumps & Valves azokan,Noticia Home / Noticias / Pumps & Valves 2017 ofrecerá nuevos espacios de encuentro con compradores internacionales
"Mondragon Unibertsitateko Industria Diseinuko eta Produktu Garapeneko Ingeniaritzako hirugarren mailako 59 ikaslek sei hiletan zehar egindako 14 proiektu erakutsiko dituzte San Telmo museoan, gaurtik maiatzaren 14ra bitartean.",Un total de 59 alumnos de tercer curso de Ingeniería en Diseño Industrial y Desarrollo de Producto de Mondragon Unibertsitatea expondrán desde hoy y hasta el día 14 de mayo en el Museo San Telmo un total de 14 proyectos realizados a lo largo de seis meses.
Hurrengo jakintza arloko irakaskuntza eta ikerketaren ardurak ditu: ‘Adierazpen Grafikoa' eta ‘Ingeniaritzako Proiektuak'.,Es responsable de la docencia y la investigación en materias concernientes a las áreas de conocimiento: ‘Expresión Gráfica en la Ingeniería' y ‘Proyectos de la Ingeniería'.
Gradu Bikoitz hau bukatzen duzunean Enpresen Administrazio eta Zuzendaritzako Graduaren eta Kudeaketaren eta Informazio Sistemen Informatikaren Ingeniaritzako Graduaren gaitasunak eskuratuko dituzu.,Al finalizar este Doble Grado habrás adquirido las competencias del Grado en Administración y Dirección de Empresas y del Grado en Ingeniería Informática de Gestión y Sistemas de Información.
"Graduari dagokionez, Ingeniaritza Industrialaren alde agertu nintzen, Tecnun-en, 2004 eta 2009 bitartean.","En cuanto a la carrera, me decanté por la Ingeniería Industrial, que cursé en Tecnun, entre los años 2004 y 2009."
"ECTS kopurua: 6,0 | Titulua: INDUSTRIA ELEKTRONIKAKO INGENIARITZA GRADUA","ECTS: 6,0 | Título: GRADO EN INGENIERÍA EN INFORMÁTICA"
"• Ingeniari gazteak, ingeniaritzako edozein titulaziokoak, eta fisikan, kimikan, matematikan edota biologian lizentziatuak.","• Jóvenes ingenieros en cualquiera de las titulaciones y licenciados en física, química y matemáticas."
"Horretarako adina heldu zitzaionean, Industri Ingeniaritza ikasi zuen Bilbon, eta ikasketak amaitu gabe ere Cementos Lemonan hasi zen lanean.","Estudió Ingeniería Industrial en Bilbao, y, sin llegar a terminar la carrera, empezó a trabajar en Cementos Lemona, donde lleva toda su vida."
"Bisitarien atalean, profesionalen profila automobilgintza, aeroespaziala, kimiko eta petrokimikoa, makineriaren eraikuntza, industria metalmekanikoak, energiak, garraioa eta azpiegiturak sektoreekin egongo da lotuta, besteren artean, eta ekoizpen, mantentze, erosketak eta ingeniaritza eta gerentziaren arduradunak izango dira.","En el apartado de visitantes, el perfil de los profesionales estará relacionado con los ámbitos de automoción, aeroespacial, químico y petroquímico, construcción de maquinaria, industrias metalmecánicas, energías, transporte e infraestructuras, entre otras, y responderá a las categorías de responsables de producción, mantenimiento, compras e ingeniería, y gerencia."
3.4 Osagaien ingeniaritza,2.5 Ingeniería de componentes
"Doktoreei, ingeniaritzako tituluan eta industria-ingeniaritzan master bat egin duten ikasleei diplomak emateko ekitaldia gaur, 18:00etan, egingo da Arrasateko Amaia Antzokian .","Iker Irribarria estudiante de Ingeniería Mecánica gano la máster en la titulación de ingeniería y uno de ingeniería industrial, tendrá lugar hoy en el Teatro Amaia de Arrasate a las 18:00 horas."
Ingeniaritza Dualean onartutakoen zerrenda,Lista de admitidos-as en la Ingeniería Dual
"Mundu osoko 15 herrialdetako 30 aditu gailenek, hazkunde urdin eta ekonomia ozeaniko azaleratuberriaren esparruan itsas bioteknologiak eskaini ditzakeen aukerak esploratuko dituzte:biofuelak, biomedikuntza edo bioprozesuen ingeniaritza, besteak beste.","Treinta expertos destacados de 15 países de todo el mundo explorarán las perspectivas que ofrece la biotecnología marina en el ámbito del crecimiento azul y de la emergente economía oceánica: biofueles, biomedicina o ingeniería de bioprocesos, entre otras."
"Kategoriak Diseinua eta arte grafikoak Elektrizitatea eta elektronika Enpresak, administrazioa eta finantzak Eraikuntza eta obra publikoak Erosketak, logistika eta biltegiak Heziketa eta prestakuntza Informatika eta telekomunikazioak Ingeniaritzak Lanbideak, arteak eta ofizioak Merkataritza, salmentak eta bezeroentzako arreta Muntaketa, instalazioa eta mantentze-lanak Osasun-Egaz Txorierri-ri buruz Kide garen sareak","Categorías Comercial, Ventas y Atención al cliente Compras, Logística y Almacén Electricidad y Electrónica Informática y Telecomunicaciones Profesiones, Artes y Oficios Diseño y Artes gráficas Ciencias Sociales, Humanidades y Filologías Edificación y Obras Públicas Empresas, Administración y Finanzas Montaje, Instalación y Mantenimiento Hostelería y Turismo Ingenierías Educación y Formación Industrias Alimentarias Sanidad y Salud"
Ruth Rivas (Ingeniaritza Kimikoa),Beatriz de Rivas (Ingeniería Química)
Graduak Gradua Mekanikako Ingeniaritzan,Grados Grado en Educación Primaria
"(Beste leiho bat zabalduko du)Eibarko Industria Ingeniaritza Teknikorako U.E. (pdf,51.27 Kb)","(Abre una nueva ventana)E.U. de Ingeniería Técnica Industrial de Eibar (pdf,51,27 Kb)"
"Jul 19, 2018 Mugarik Gabeko Ingeniaritza, ADES Santa Marta eta FIA/UES-ekin batera GrAL-a gauzatzen dabilen UPV/EHU-ko ikasle den Leireri El Salvadorrera joan aurretik egindako elkarrizketa hementxe!","Entrevista realizada antes de la partida al alumno de la UPV/EHU que estos días lleva a cabo su investigación del TFG en El Salvador junto a ADES Santa Marta, FIA/UES e ISF-MGI."
Ingeniaritza Mekanikoko Gradura egokitzeko ikastaroa,Curso de Adaptación Grado en Ingeniería Mecánica
"Zientzia, ingeniaritza, teknologia, motor, abentura eta bizimoduen inguruko programazioa, kalitate onekoa, ikusleen inspirazio-iturri izatea eta ikusleak entretenitzea bilatzen duena.","Programación de calidad en las áreas de ciencia, ingeniería, tecnología, motor, aventura y estilos de vida, buscando siempre el doble objetivo de inspirar y entretener a la audiencia."
"1.– Gastu edo/eta inbertsio hautagarritzat hartuko dira 7. artikuluan deskribatutako aholkularitza, ingeniaritza, hardware eta software gastuak, baldintza hauek betetzen badituzte:","1.– Tendrán la consideración de gastos y/o inversiones elegibles los de consultoría, ingeniería, hardware y software descritos en el artículo 7 y que cumplan los siguientes requisitos:"
Ingeniería Eléctrica y Electrónica - Ingeniaritza Elektriko eta Elektronikoa Saila,Formato: PDF Ingeniería en Eléctrica y Electrónica
"Taldeak produktuen garapenean, fabrikazioan, kalitatean eta egiaztapenean daukan esperientzia eta know-how ikerkuntzari esker, Ingeniaritza Biomedikoaren alorrean produktu berriak diseinatzeko eta aurrera eramateko gaitasuna daukagu. ERREKUBRIMENDU BIOBATERAGARRIAK","Tenemos la capacidad de diseñar y fabricar nuevos productos en el campo de la ingeniería biomédica, gracias al know-how investigador del equipo y a su experiencia tanto en desarrollo de producto y fabricación como en calidad y certificación de producto sanitario."
Tituloa: Ingeniaritza Mekanikoa,Título: Ingeniería mecánica
Ekai ingeniaritza,Ingeniería de procesos
"Nazioartekotzea* softwarea diseinatzeko prozesua da, hizkuntza eta eskualde ezberdinetara egokitu ahal izateko ingeniaritza eta kodea aldatu behar gabe.","La internacionalización* es el proceso de diseñar software de manera que pueda adaptarse a diferentes idiomas y regiones, sin necesidad de realizar cambios de ingeniería ni en el código."
"Horrenbestez, arlo hauek bereizten dira: zientzia zehatzak eta natur zientziak; ingeniaritza eta teknologia; medikuntza-zientziak (farmazia barne); nekazaritza-zientziak; gizarte-zientziak; humanitateak.","La Tecnología"" y consta de las siguientes áreas: Ciencias Exactas y Naturales, Ingeniería y Tecnología, Ciencias Médicas (incluida Farmacia), Ciencias Agrarias, Ciencias Sociales, Humanidades."
Diseinu Mekanikoko Ingeniaritza,Ingeniería en Diseño Mecánico
Universidad Pública de Navarra / Ingeniaritza Mekanikoko Graduatua Nafarroako Unibertsitate Publikoan,Graduado o Graduada en Ingeniería Mecánica por la Universidad Pública de Navarra / Ingeniaritza Mekanikoko Graduatua
"Mikel Rodríguezek, Euskal Herriko Unibertsitateko (EHU) Telekomunikazioetako Ingeniaritzako ikasleak, Smart&Safe proiektua garatu du, eta laneko segurtasunerako aplikazioa da. Bertan, soinean eramateko jantzi adimendunen bitartez antzematen da ingurune arriskutsuetan lan egiten duten langileek ekipamendu egokia daramaten ala ez.","Smart & Safe ha sido desarrollado por Mikel Rodríguez, estudiante de ingeniería de telecomunicaciones en la Universidad del País Vasco (EHU-UPV) y es una aplicación que opera en el terreno de la seguridad laboral, mediante prendas vestibles inteligentes que detectan si los operarios que trabajan en entornos peligrosos llevan el equipamiento adecuado."
"Jatorrian, proiektuaren helburua zen lehen hezkuntzako ikasleen artean STEAM (zientzia, teknologia, ingeniaritza, arteak eta matematika, ingelesezko sigletan) gaiak sustatzea; baina Gipuzkoako Foru Aldundiaren ekimen honekin, bigarren hezkuntzara eta aisialdira eta denbora librera ere zabaldu nahi da.","En un principio el objetivo de este proyecto era la promoción de los temas STEAM (siglas en inglés de ciencia, tecnología, ingeniería, arte y matemáticas) entre el alumnado de primaria; pero con esta iniciativa de la Diputación Foral de Gipuzkoa, se quiere ampliar a la educación secundaria, al ocio y al tiempo libre."
Zientziaren eta Ingeniaritzaren arloetako ikasleei eta merkatua gehixeago ezagutzen duten enpresetako langileei zuzendutako ekimena da.,El evento está dirigido tanto a estudiantes de los ámbitos de Ciencia e Ingeniería como al personal de empresas con un conocimiento más amplio del mercado.
Prozesu eta Produktuen Berrikuntza Ingeniaritzako Graduaren egiaztatzea,Acreditación del Grado en Ingeniería en Innovación de Procesos y Productos
Fisika eta Ingeniaritza Elektronikoko Gradu Bikoitzako irakasgaietako koordinatzaileak,Coordinación de asignaturas del Doble Grado en Física y en Ingeniería Electrónica
"Hitzarmen horri esker, prestakuntza jarduera espezifikoak ere egingo dira, hala nola Gradu Amaierako edo Master Amaierako lanak ingeniaritzako tituludun diren gazteentzat eta doktoretza tesien programak.","Gracias a este acuerdo, se realizarán además actividades de formación específicas como: Trabajos Fin de Grado o fin de Máster para jóvenes titulados en ingeniería y programas de tesis doctorales."
"Ate irekien jardunaldia larunbatean Ingeniaritzako Fakultatean, Arrasaten","Jornada de Puertas Abiertas en la Facultad de Ingeniería, en Arrasate"
Titulazioa Ingeniaritza Elektrikoko Gradua,Titulación Grado en Ingeniería Electrónica Industrial y Automática
Informatika eta ingeniaritza arloan soluzioak ematen espezializatutako profesional taldea gara.,un equipo de profesionales especializados en dar soluciones en ámbitos informáticos y de ingeniería.
"Besteak beste Bernard Lachatek zuzendutako bioingeniaritzari buruzko hainbat tailer izango dira ibaibide honetako jarduera aipagarrienak, bai eta Bioingeniaritzaren Europako Federazioaren Nazioarteko Biltzarra ere.","Diversos talleres de bioingeniería, dirigidos, entre otros, por Bernard Lachat y el Congreso Internacional de la Federación Europea de Bioingeniería son las actividades destacadas de este cauce."
"Errendimendurik handieneko unibertsitateak ez ezik, STEM (Zientzia, Teknologia, Ingeniaritza eta Matematika) eremuko errendimendurik handieneko karrerak ere neurtu ditu.","Dentro de las universidades de mayor rendimiento se miden también las carreras con mayor rendimiento integradas en el ámbito STEM (Ciencia, Tecnología, Ingeniería y Matemáticas)."
Enpresarekiko harremanak - Bilboko Ingeniaritza Eskola - UPV/EHU,Buzón de Sugerencias - Escuela de Ingeniería de Bilbao - UPV/EHU
"Euskal industriak eta baita ekonomiak ere, oro har, bizi duen koiuntura ekonomiko mesedegarriak baikorrak izateko modua ematen digu, sektoreak datozen urteotan eduki dezakeen garapenari buruz. Izan ere, 2000. urtean ingeniaritza mekanikoaren jarduerak duen eboluzioa gogobetekoa ari da izaten.","La favorable coyuntura económica por la que atraviesa tanto la industria vasca como la economía en general, permite ser optimistas sobre el desarrollo del sector en los próximos años, de hecho en el año 2000 la evolución de la actividad de ingeniería mecánica está siendo muy satisfactoria."
"Paisajismoa, ingeniaritza eta biologia bateratzen dituzten proiektuak gauzatzen ditugu.","Desarrollamos proyectos que aúnan paisajismo, ingeniería y biología"
Heziketa Zikloen eta Ingeniaritza Dualaren informazio saioa,Ciclos Formativos e Ingeniería Dual: sesiones informativas
"Alumni, Alumni - Ikasle Ohiak, Bilboko campusa, Deusto Business School, Enplegua eta Ekintzailetza, Emprendimiento, Gizarte eta Giza Zientzien Fakultatea, Zuzenbide Fakultatea, Ingeniaritza Fakultatea, Psikologia eta Hezkuntza Fakultatea, Teologia Fakultatea, Prensa, Informazio saioak","Alumni, Alumni - Antiguos alumnos, Campus Bilbao, Deusto Business School, Empleo y Emprendimiento, Emprendimiento, Facultad de Ciencias Sociales y Humanas, Facultad de Derecho, Facultad de Ingeniería, Facultad de Psicología y Educación, Facultad de Teología, Prensa, Sesiones Informativas"
"Lan hau edozein hiritarrentzat erreferentziazkoa izango da, baina, batez ere osasun, ingurumen eta gainerako bizitza- eta gizarte-zientzietan (bai hezkuntzan, elikaduran eta soziologian, baita zuzenbidean, kimikan eta ingurumen-ingeniaritzan ere) aritzen diren profesionalentzat .","Esta obra servirá de referencia a todo ciudadano interesado, y en especial a los profesionales de la salud, el medio ambiente y las otras ciencias de la vida y la sociedad (desde la educación, la alimentación y la sociología hasta el derecho, la química y la ingeniería ambientales)."
Vitoria-Gasteizko Ingeniaritza Eskola,Escuela de Ingeniería de Vitoria-Gasteiz
Aplikazioak garatzeko ingeniaritza,Ingeniería para el desarrollo de aplicaciones
Ingeniaritza elektrikoa eta elektronikoa,Ingenierías eléctrica y electrónica
Berrikuntza Teknologikoak Ezagutu itzazu ingeniaritzari aplikatutako eta aurten garatutako aurrerapen teknologiko harrigarrienak.,Conoce las más impresionantes muestras de los avances tecnológicos aplicados a la ingeniería que desarrollaron este año.
Proiektuen Ingeniaritza Doktorego Programa,Programa de Doctorado en Ingeniería de Proyectos
Nazioarteko Programa Industria Teknologietako Ingeniaritzan,Ingeniería en Tecnologías Industriales (Internacional)
2004 – 2006 Industria Antolakuntzaren Ingeniaritza – Bilboko Ingeniaritza Eskola (Euskal Herriko Unibertsitatea UPV-EHU),2004 – 2006 Ingeniería en Organización Industrial- Escuela de Ingenieros de Bilbao (Universidad del País Vasco UPV-EHU)
Informatikako Ingeniaritza gradua,Grado en Ingeniería Eléctrica
"Zerbitzuak: Ingeniaritza Zibila eta Arkitektura, Ingeniaritza Aeroespaziala, Aeronautikoa eta Ibilgailuena, Jarduketa eta Kontroleko Sistemak, Energia eta","Servicios: Ingeniería Civil y Arquitectura, Ingeniería Aeroespacial, Aeronáutica y Vehículos, Sistemas de Actuación y Control, Energía y Procesos e Ingeniería Naval"
Aurkezpena: CUBI ingeniaritza,Presentación: CUBI ingenieria
"Alde batetik, gure ikuspegi orokor eta integratzailearengatik, eta, bestetik, gure Ibermática Manufacturing Platform delako proposamen onenetako bat midmarket integratuetarako, ingeniaritzatik lantegira bitartekoa hartuta.","Por un lado, por nuestra visión global y de integración, y por otro, porque nuestra Ibermática Manufacturing Platform es una de las mejores propuestas europeas para midmarket integradas desde la ingeniería a la planta."
"3,6 3,8 Gasteizko Ingeniaritzako Unibertsitate Eskola","3,6 3,8 Escuela Universitaria de Ingeniería de Educación Social"
Ingeniaritza Dualaren graduazioa - Info - UPV/EHU,Graduación en Ingeniería Dual - Info - UPV/EHU
Aurkezpena IMHko Ingeniaritza Dualaren Unibertsitate Eskola IMHko Fundazioak kudeatzen du 1996an sortu zenetik.,Ingenieria Dual Presentación La Escuela Universitaria de Ingeniería Dual del IMH de Elgoibar está gestionada por la Fundación del IMH.
"Hizkuntza ingeniaritza erabilita hainbat aukera zabaltzen dira datu-baseen informazioa atzitzeko garaian: atzipen eleanitza, multzokatze semantikoa, antzekotasunean oinarritutako atzipena, galdera-erantzun sistemak, informazioa inferitzea...","Usando técnicas de Ingeniería Lingüística se abren nuevas opciones de acceso a la información de estas bases de datos: acceso multilingüe, agrupación semántica, acceso basado en similitud, sistemas de pregunta-respuesta, inferencia de información..."
Landa Ingeniaritza eta Proiektuak,Ingeniería y Arquitectura
"Bilboko Ingeniaritza Eskola, Portugalete Biblioteka Biblioteka.","Escuela de Bilbao, Portugalete Biblioteca Biblioteca Área de Leioa-Erandio"
Seinalearen Teoria eta Komunikazioak eta Telematika Ingeniaritza jakintza arloen irakaskuntzaren arduraduna da.,Es responsable de la docencia de las áreas de conocimineto de Teoría de la Señal y Comunicaciones e Ingeniería Telemática.
Atezaintza - Bilboko Ingeniaritza Eskola - UPV/EHU Hizkuntza hautaketa,Conserjería - Escuela de Ingeniería de Selección de idioma Euskara español
"Ingeniaritza Energetiko Iraunkorra Masterrak adituak trebatzen ditu energia sorkuntzan eta kudeaketan, gai izango direnak energia sortzeko planten eraikuntza eta ustiapen proiektuetan parte hartzeko, klima aldaketaren aurkako jasangarritasun eta borroka printzipioen arabera.",El Máster en Ingeniería Energética Sostenible forma personal experto en generación y gestión energética con capacidad para participar en proyectos de construcción y explotación de plantas generadoras de energía bajo los principios de sostenibilidad y lucha contra el cambio climático.
"""Adimen Artifiziala"" Informatikaren Ingeniaritzako Graduko irakasgai bat da, Konputazioa espezialitateko ikasleentzako derrigorrezkoa eta, beste espezialitatekoentzako, hautazkoa.","La asignatura ""Inteligencia Artificial"" es una asignatura obligatoria para los alumnos de la especialidad de Computación dentro del Grado en Informática y optativa para los alumnos de las demás especialidades."
"Sari-banaketan Imanol Pradales Bizkaiko Foru Aldundiko Ekonomiaren Sustapen Diputatua, Fernando Romero Fabrikazio Ingeniaritza Elkartearen Presidentea, Xabier Ortueta AFM-ren Zuzendari Nagusia eta Xabier Basañez Bilbao Exibition Centreren Zuzendari Nagusia izan ziren.","En el acto de entrega de los premios estuvieron presentes el diputado de Promoción Económica de la Diputación Foral de Bizkaia, Imanol Pradales, Bilbao Exhibition Centre."
"Gizarte-eragile batzuek lortu nahi dute trantsizio hori “teknologikoa baino gehiago izatea, eta gizartea eraldatzeko duten gaitasuna ustiatu nahi dute. Izan ere, iturri berriztagarriak moduluka erabil daitezke, eta maila lokalean sor dezakete energia”, dio Álvaro Campos Celador UPV/EHUko Bilboko Ingeniaritza Eskolako Makina eta Motor Termikoak Saileko ikertzaileak.","En las sociedades hay movimientos que buscan que esa transición “no sea meramente tecnológica, sino que pretenden explotar la capacidad de transformación social que presentan, dada la posibilidad de su uso modular y su capacidad de producir energía a nivel local”, comenta Álvaro Campos Celador, investigador del Departamento de Máquinas y Motores Térmicos de la Escuela de Ingeniería de Bilbao de la UPV/EHU, y autor cooperativas de energía renovable son unas buenas candidatas para ello; están constituidas por grupos ciudadanos, que se hacen cargo de la generación y comercialización de energía renovable."
"Lekukotasuna: Ingeniaritza Dualeko hirugarren kurtsoko ikaslea Ingeniaritza hasi aurretik, Jesus Obreron, Gasteizen, Mekanizazio bidezko Produkzioko Goi-Mailako Heziketa Zikloa ikasi zuen.","Testimonio: Estudiante de tercer curso de la Ermua, antes de estudiar la ingeniería en alternancia realizó el ciclo formativo de grado superior de mantenimento de equipo industrial."
Ikastaroa Operaciones Ingeniaritza Mekanikoa eta Fabrikazio Prozesuak,Temática Ingeniería Mecánica y Procesos de Fabricación
EAZ + Industria Teknologien Ingeniaritza,ADE + Ingeniería en Tecnologías Grados
"INGENIARITZA ESKOLA FUNDAZIOAK, BATERIEN BIZITZA ERABILGARRIA KALKULATZEKO ETA ENERGIA BERRIZTAGARRIEN INTEGRAZIOA ERRAZTEKO TRESNA BERRIAK EMATEN DITUEN LAN BAT SARITU DU",LA FUNDACIÓN ESCUELA DE INGENIEROS PREMIA UN TRABAJO QUE APORTA NUEVAS HERRAMIENTAS PARA CALCULAR LA VIDA ÚTIL DE LAS BATERÍAS Y FACILITAR LA INTEGRACIÓN DE LAS ENERGÍAS RENOVABLES
Tokia: Ikastegia: Industria Diseinuko Ingeniaritza + Ingeniaritza Mekanikoa,Lugar de impartición: Centro Responsable: Ingeniería en Diseño Industrial
"Gaur egungo Bilboko Ingeniaritza Eskola UPV/EHUko aintzineko 4 Eskolen batuketaren ondorioz, 2016aren hasieran jaio zen.",La actual Escuela de Ingeniería de Bilbao nace a comienzos del año 2016 como resultado de la fusión de 4 antiguas Escuelas de la UPV/EHU:
