Basque (eu),Spanish (es),Spanish_Translation
Geoinformatika - Gasteizko Ingeniaritzako Unibertsitate Eskola - UPV/EHU,Geoinformática - Escuela Universitaria de Ingeniería de Vitoria-Gasteiz - UPV/EHU,Geoinformática - Escuela Universitaria de Ingeniería de Vitoria-Gasteiz - UPV/EHU
"Kalkulu teknikorako erregela, bi aldekoa, Rietz sistemaduna (10 eskala), dituena, bereziki ingeniaritzan eta eraikuntzan erabiltzekoa.","Regla de cálculo técnico, bilateral, de sistema Rietz (10 escalas), destinada especialmente para uso en ingeniería y construcción.","La regla de cálculo técnico, de dos lados, con sistema Rietz (10 escalas), especialmente de ingeniería y construcción."
"Edukia: Proba 2012ko ekainaren 13an egingo da, Bilboko Ingeniaritza Goi Eskola Teknikoan.","La prueba se celebrará el 12 de junio de 2018 en la escuela Técnica Superior de Ingeniería de Bilbao, Alameda de Urquijo s/n.","Contenido: La prueba se celebrará el 13 de junio de 2012, en la Escuela Técnica Superior de Ingeniería de Bilbao."
Ingeniaritza Dualaren Eskola,Escuela de música,Escuela de Ingeniería Dual
Ingeniaritza Fakultatean eskaintzen diren lehenengo eta bigarren zikloko ikasketetan aurrera egiteko eta jarraitzeko araudia (indarrean 2018ko irailaren 1etik),Normativa de progreso y permanencia en los estudios de primer ciclo y segundo ciclo impartidos en la Facultad de Ingeniería (en vigor a partir del 1 de septiembre de 2018),Normativa para el avance y seguimiento de los estudios de primer y segundo ciclo que se ofrecen en la Facultad de Ingeniería (fuerza desde el 1 de septiembre de 2018)
"Erdi-goi mailakoak: Ingeniaritza Teknikoko ikasketak eta perituak, Maisu-maistra ikasketak, Erizaintza eta antzekoak.","Medio-superiores: estudios de Ingeniería Técnica y Peritos, Magisterio, Enfermería y similares.","De grado medio-alto: Estudios de Ingeniería Técnica y peritos, estudios de Magisterio, Enfermería y similares."
"Vicomtecheko Industria eta Ekoizpen Aurreratua sailaren helburua Simulazio, Bistaratze, Errealitate Areagotu, Prozesatze Geometriko, Ikuspen Artifizial eta Ezagutzaren Ingeniaritzarekin erlazionatuta dauden teknologiak inguru industrialetan sortutako datuen kudeaketa, prozesatze, azterketa eta ekoizpenetara aplikatzea da.","Equipo Vicomtech-Industria y Fabricación Avanzada de Vicomtech-IK4 es la aplicación de las tecnologías relacionadas con Simulación, Visualización, Realidad Aumentada, Procesamiento Geométrico, Visión Artificial, e ingeniería del conocimiento para la gestión, procesamiento, análisis y aprovechamiento de datos generados en entornos industriales.","El Departamento de Industria y Producción Avanzada de Vicomteche tiene como objetivo la aplicación a la gestión, procesamiento, análisis y producción de datos generados en los entornos industriales por las tecnologías relacionadas con la Ingeniería del Conocimiento, el Procesado Geométrico, la Inspección Artificial y la Ingeniería del Conocimiento."
"Hirugarren espezializazio-eremuan, gainazalen ingeniaritzaren kontzeptuaren pean biltzen diren teknologia guztiak ditugu.",La tercera área de especialización recoge todas las tecnologías que se engloban bajo el concepto de ingeniería de superficies.,En el tercer ámbito de especialización tenemos todas las tecnologías que se agrupan bajo el concepto de ingeniería de superficies.
Hirigintza eta populazio-ingeniaritza.,Ingeniería urbanística y poblacional.,Ingeniería urbanística e poblacional.
Industria Diseinuko Ingeniaritza + Ingeniaritza Mekanikoa,Ingeniería en Diseño Industrial + Ingeniería Mecánica,Ingeniería en Diseño Industrial + Ingeniería Mecánica
"Gaur egungo arazo handietako bat lanbide teknologikoetan dagoen genero-arraila da, STEM (zientzia, teknologia, ingeniaritza eta matematika) lizentziaturetan ikasleen %20 baino gutxiago baitira emakumeak. Egoera are larriagoa da lanbide-heziketan.","Uno de los grandes problemas que tenemos en la actualidad es la brecha de género en las profesiones tecnológicas, donde menos del 20% de las mujeres optan por estudios de ciencia y tecnología .Estas disciplinas, permiten acceder a los empleos más cualificados, crear las start ups más innovadoras y realizar investigaciones aportando valora la sociedad.","Uno de los grandes problemas de la actualidad es el origen de género en las profesiones tecnológicas, ya que en los licenciados STEM (ciencia, tecnología, ingeniería y matemáticas) las mujeres son menos del 20% de sus alumnos."
Komunikazioen Ingeniaritza Saila - UPV/EHU,Departamento de Ingeniería de Comunicaciones - UPV/EHU,Departamento de Ingeniería de Comunicaciones - UPV/EHU
"AMPOn euren bezeroen ingeniaritza saileko pertsonekin elkarlanean lan egiten dute beti, proiektuen martxan jartze eta mantenimendu arrakastatsu bat bermatzeko helburuarekin.",En AMPO siempre trabajamos en colaboración con los equipos de ingeniería de nuestros clientes con el objetivo de garantizar una exitosa puesta en marcha y el mantenimiento del proyecto.,"En AMPO trabajan siempre en colaboración con las personas del departamento de ingeniería de sus clientes, con el objetivo de garantizar un éxito de puesta en marcha y mantenimiento de proyectos."
"Informatikako Ingeniaritza + Enpresaren Eraldaketa Digitala > Egutegia, ordutegia eta azterketa egunak",Ingeniería Informática + Transformación Digital de la Empresa > Profesores,"Ingeniería Informática + Transformación Digital de la empresa > Calendario, horario y días de exámenes"
2015eko abenduan defendatutako tesiak: Ingeniaritza eta Teknologia,Tesis defendidas en diciembre de 2015: Ingeniería y Tecnología,Tesis defendidas en diciembre de 2015: Ingeniería y Tecnología
Bilboko Ingeniaritza Eskola,Escuela Técnica Superior de Ingeniería Civil,Escuela de Ingeniería de Bilbao
"Dinycon Misioa Dinycon Sistemas ingeniaritza integratzailea da, soluzio berritzaileko garapenean, pertsonen eta ibilgailuen higikortasuna optimizatzeko eta energiaren erabilera eraginkorrean arituta, guztia jasangarritasun-irizpideen azpian.","Dinycon Misión Dinycon Sistemas es una ingeniería integradora de sistemas, dedicada al desarrollo de soluciones innovadoras para optimizar la movilidad de personas y vehículos y el uso eficiente de la energía, todo ello bajo criterios de sostenibilidad.","Dinycon Misión es una ingeniería integradora en Dinycon Sistemas, en el desarrollo de una solución innovadora para optimizar la movilidad de personas y vehículos y trabajando eficazmente en el uso de la energía, todo ello bajo criterios de sostenibilidad."
"Harritzekoa da zenbat ordu ematen zituen lanean ikusteak, are gehiago jakinda bere barneko mundua ikaragarri handia zela: maite zituen pertsonak, xakea, txangoak, gauzak eraikitzeko proiektu pertsonalak, ingeniaritzari guztiz emana bait zelako.","Sorprende la cantidad de horas que dedicaba a su trabajo, conociendo que su mundo interior era enorme: sus seres queridos, su ajedrez, sus excursiones, sus proyectos personales para construir cosas, porque era un apasionado de la ingeniería.","Es curioso ver las horas que estaba trabajando, sabiendo más aún que su mundo interior era enorme: las personas a las que amaba, el ajedrez, las excursiones, los proyectos personales de construcción de cosas, porque se había dedicado por completo a la ingeniería."
"Telekomunikazio eta Industria Ingeniarien Goi Mailako Eskola Teknikoak (TIIGMET) sustatzen du proiektu hau, bilatzen duena irakaskuntza, ikerketa eta dibulgazioa elkarrekin harremanetan jartzea, zenbait eragile inplikatu nahi dituelako, halako moldez non, proiektua garatzean eta betetzean, ez dezatela parte har bakarrik ikertzaileek (ingeniaritza elektriko edo informatikokoak edo telekomunikazio ingeniaritzakoak e.a.","Este proyecto, auspiciado por la Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación (ETSIIT), busca interrelacionar docencia, investigación y divulgación, porque quiere implicar a distintos agentes, de modo que, en su desarrollo y ejecución, no solo participen investigadores (de áreas como la ingeniería eléctrica, telecomunicación, informática, etc.), sino también estudiantes, que, en un futuro, podrán centrar sus trabajos fin de grado o fin de máster en los distintos aspectos del proyecto.","Este proyecto es promovido por la Escuela Técnica Superior de Ingeniería de Telecomunicaciones e Ingenieros Industriales (TIIGMET), que busca poner en contacto la enseñanza, la investigación y la divulgación, con la intención de implicar a diversos agentes, de tal manera que, al desarrollar y cumplir el proyecto, no sólo no participen los investigadores (ingeniería eléctrica o informática o ingeniería telecomunicaciones, etc.)."
Ofizialtasuna emateko eta RUCTn erregistratzeko akordioak Energiako Ingeniaritza Gradua,Acuerdos de oficialización e inscripción en el RUCT Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,Acuerdo para la concesión de oficialidad y registro de RUCT Grado en Ingeniería de Energía
EAZ + Informatikako Ingeniaritza,ADE + Ingeniería Informática,CAU + Ingeniería Informática
1 26510 Ingeniaritzako Metodo Estatistikoak,1 26510 Métodos Estadísticos de la Ingeniería,1 26510 Métodos Estadisticos de Ingeniería
Kostu-ingeniaritza,Ingeniería de costes,Ingeniería de Costes
"25 urte daramagu toki- eta foru-administrazioentzat lanean, eta bat egin ditugu denbora horretan bildutako esperientzia eta ingeniaritzaren alor guztietako teknikarien berezko ezagupideak, udalen behar teknikoei erantzuteko soluzioak eta aholkuak emateko.","La experiencia de 25 años trabajando para la administración local y foral, nos ha permitido aunar la experiencia necesaria junto a los conocimientos propios de los técnicos de las distintas ramas de la ingenieria para aportar soluciones y asesoramiento a las distintas necesidades técnicas municipales.","Llevamos 25 años trabajando para las administraciones locales y forales y hemos unido los conocimientos propios de los técnicos de todas las áreas de la experiencia y la ingeniería, las soluciones y consejos para atender las necesidades técnicas de los ayuntamientos."
Informatikako Ingeniaritza > Ikasketa plana,Ingeniería en Tecnologías Industriales > Plan de estudios,Ingeniería Informática > Plan de estudios
"Pertsona sortzailea eta zenbakiekin trebea bazara, ulermen abstraktua, arrazonamendu logikoa eta trebezia deduktiboa badituzu eta matematika, fisika, kimika eta adierazpen grafikoa bezalako oinarrizko gaietarako erraztasuna baduzu, Ingeniaritza Mekanikoko Graduan dago zure lekua.","Si eres una persona creativa, tienes destreza numérica, comprensión abstracta, razonamiento lógico y habilidad deductiva así como facilidad para materias básicas como matemáticas, física, química, y expresión gráfica, el Grado en Ingeniería Mecánica es perfecto para ti.","Si eres una persona creativa y hábil con números, tienes una comprensión abstracta, un razonamiento lógico y una habilidad deductiva y tienes una facilidad para temas básicos como matemáticas, física, química y expresión gráfica, tu lugar está en el Grado en Ingeniería Mecánica."
"Arlo elektriko, instrumentazio eta kontrolekoan, ingeniaritza integrala eskaintzen dugu.","Ofrecemos ingeniería integral de las disciplinas eléctricas, de instrumentación y control.","En el campo eléctrico, instrumentación y control, ofrecemos una ingeniería integral."
Graduazio-Ekitaldia - Vitoria-Gasteizko Ingeniaritza Eskola - UPV/EHU,Acto de Graduación - Escuela de Ingeniería de Vitoria-Gasteiz - UPV/EHU,Curso de Graduación - Escuela de Ingeniería de Vitoria-Gasteiz - UPV/EHU
Ikasketa plana Industria Elektronikako eta Automatikako Ingeniaritza,Plan de Estudios Ingeniería Electrónica Industrial y Automática,Plan de Estudios Ingeniería Electrónica Industrial y Automática
"Mahai-inguru bat egitea ere aurreikusten da; bertan, enpleguaren etorkizuna landuko da, sektore jakin batzuen ikuspegitik (ingeniaritza, elikadura, bioteknologia…).","Se espera contar también con una mesa redonda donde se abordará el futuro del empleo desde el punto de vista de sectores como ingenierías, alimentación y biotecnología.","También se prevé realizar una mesa redonda en la que se trabajará el futuro del empleo desde la perspectiva de determinados sectores (ingeniería, alimentación, biotecnología...)."
Ingeniaritza biomedikoa: Osasunerako teknologiak,Ingeniería Biomédica: Tecnologías para la Salud,Ingeniería biomédica: Tecnologías para la salud
Ingeniaritza Mekanikoko Gradua (186kB),Grado en Ingeniería Mecánica (188kB),Grado en Ingeniería Mecánica (1818kB)
"Navdanyak ingeniaritza genetikoaren arriskuez ohartarazi du, nekazariak eta haien ezagutzak biopirateriaz babestu ditu, eta globalizazioaren eta klima-aldaketaren testuinguruan elikagaien eskubideak defendatu ere egin ditu. GREENPEACE ko JULIO BAREA",Navdanya ha promovido la concientización sobre los peligros de la ingeniería genética; ha protegido de la biopiratería a los/as campesinas y sus conocimientos; y ha defendido los derechos de los alimentos en el contexto de la globalización y del cambio climático.,"Navdanya ha alertado de los riesgos de la ingeniería genética, ha protegido a los agricultores y sus conocimientos con la biopiratería y ha defendido los derechos de los alimentos en el contexto de la globalización y el cambio climático."
Fisioterapiaren eta diseinu ingeniaritza mekanikoaren arloko paperean dauden liburu eta aldizkarien bildumak eskuragarri jartzen ditu eta aldi berean Tuterako Campusean irakaskuntza eta ikerkuntza jardueretan erabiliko diren baliabide akademikoetarako sarbidea eman eta orientazioa eskaintzen du.,Reúne la colección en papel de libros y revistas del área de fisioterapia e ingeniería de diseño mecánico y ofrece acceso y orientación en el uso de los recursos académicos para la enseñanza y actividades de investigación en el Campus de Tudela.,Ofrece a su vez colecciones de libros y revistas en papel en el campo de la fisioterapia y la ingeniería mecánica del diseño y ofrece acceso y orientación a los recursos académicos que se utilizarán en el Campus de Tudela para actividades de docencia e investigación.
"Estatu osoa kontuan hartuta, pisu handiena lizentziaturek (%49) izan zuten, ostean diplomaturek (%24), segidan arkitektura eta ingeniaritza teknikoek (%15) eta azkenik arkitektura eta ingeniaritzek (%11).","En el total estatal el peso mayor recae en las licenciaturas (49%), seguido por las diplomaturas (24%), arquitectura e ingeniería técnicas (15%) y, por último, arquitectura e ingeniería (11%).","Teniendo en cuenta todo el Estado, el mayor peso fue por los licenciados (49%), a continuación por los diplomados (24%), a continuación por la arquitectura e ingeniería técnica (15%) y por último por la arquitectura e ingeniería (11%)."
"Ingeniaritza, hirigintza eta komunikabideak.","Ingeniería, urbanismo y vías de comunicación.","Ingeniería, urbanismo y medios de comunicación."
Ingeniaritza Elektroniko Industrial eta Automatikoko Gradua.,Grado en Ingeniería en Electrónica Industrial y Automática,Grado en Ingeniería Electrónica Industrial y Automática.
Ingeniaritza Mekanikoko eta Industria Elektronikoaren eta Automatikaren Ingeniaritzako Gradu Bikoitza.,Doble Grado en Ingeniería Mecánica e Ingeniería Electrónica Industrial y Automática.,Doble Grado en Ingeniería Mecánica y Electrónica Industrial y Automática.
Fisika teorialaria; Ingeniaritza Industrialean eta Informatikan ikasketa aurreratuak ditu eta masterra du Museolaritzan....,"Es un físico teórico, con estudios avanzados de Ingeniería Industrial e Informática, así como experto y máster en...",Física teórica; Estudios avanzados en Ingeniería Industrial e Informática y máster en Museoría....
"Sailak indar handiz hartzen du parte Telekomunikazioaren Ingeniaritza unibertsitate-masterrean, eta bi doktorego programetan.",El Departamento participa con mucha intensidad en el Máster Universitario de Ingeniería de Telecomunicación.,El Departamento participa con gran fuerza en el Máster Universitario de Ingeniería de Telecomunicaciones y en dos programas de doctorado.
"Ingeniaritza-estudioek egiaztatu beharko dute deialdi hau argitaratzen den egunaren aurreko hiru urteetan, gutxienez, bizitegi-eraikinen eremuko proiektu, aholkularitza edo txostenei buruzko bi lan egin dituztela.","Los estudios de ingeniería deberán acreditar haber realizado, al menos, dos trabajos relativos a proyectos, asesoría o informes en el ámbito de la edificación residencial en los últimos tres años anteriores a la publicación de la presente convocatoria.","Los estudios de ingeniería deberán acreditar que, al menos durante los tres años anteriores a la publicación de la presente convocatoria, se han realizado dos trabajos sobre proyectos, asesoramiento o informes en el ámbito de los edificios residenciales."
Ingeniaritza eta aldaketa sozialak,Ingeniería y cambios sociales,Ingeniería y cambios sociales
Ingeniaritza Dualaren graduazioa Albisteak,Graduación en Ingeniería Dual Noticias,Grado en Ingeniería Dual Noticias
Informatika Ingeniaritzako Gradua - Masterretara sarbidea - UPV/EHU,Grado en Ingeniería Informática - Acceso a másteres - UPV/EHU,Grado en Ingeniería Informática - Acceso a Másteres - UPV/EHU
"Elektronika eta Telekomunikazioak Saileko zuzendaria izan da (1995-2001), Bilboko Ingeniaritza Goi Eskola Teknikoko Nazioarteko Harremanetako eta Kalitateko zuzendariordea (2001-2005) eta Bizkaiko Campuseko Garapen arloko zuzendaria (2005-2013).","Ha sido director del Departamento de Electrónica y Telecomunicaciones (1995-2001), subdirector de Relaciones Internacionales y Calidad de la Escuela Técnica Superior de Ingeniería de Bilbao (2001-2005) y Director de Desarrollo del Campus de Bizkaia (2005-2013).","Ha sido directora del Departamento de Electrónica y Telecomunicaciones (1995-2001), Subdirectora de Relaciones Internacionales y Calidad de la Escuela Técnica Superior de Ingeniería de Bilbao (2001-2005) y Directora de Desarrollo del Campus de Bizkaia (2005-2013)."
Gradu Bikoitza: Ingeniaritza Mekanikoa + Industria Elektronikaren eta Automatikaren Ingeniaritza,Grado en Ingeniería Electrónica Industrial y Automática,Doble Grado: Ingeniería Mecánica + Ingeniería Electrónica Industrial y Automática
"UPV/EHUko Gipuzkoako Campusean titulu ofizialen bat eskuratu izana (gradua, graduondokoa, lizentziatura, diplomatura, ingeniaritza edo arkitektura) 2012/2013 edo 2013/2014 ikasturteetan; baita titulua emateko eskubideak behar bezala ordaindu badituzte ere.","Ser estudiante del último año de la titulación en que se encuentre matriculado el año académico 2014/2015 en la UPV/EHU (Grado, Postgrado, Licenciatura, Ingeniería y Arquitectura) en algún centro del Poseer un título oficial de la UPV/EHU (Grado, Postgrado, Licenciatura, Diplomatura, Ingeniería y Arquitectura) obtenido en los cursos 2012/2013 o 2013/2014 en algún centro del Campus de Gipuzkoa, o alternativamente, haber satisfecho los derechos de expedición de las mencionadas titulaciones.","La obtención de un título oficial en el Campus de Gipuzkoa de la UPV/EHU (grado, postgrado, licenciatura, diplomatura, ingeniería o arquitectura) durante los cursos 2012/2013 o 2013/2014, así como el pago de los derechos de inscripción."
"Diseinu industrialean graduatua Bartzelonako Diseinu eta Ingeniaritza Unibertsitatean (ELISAVA), 2016ko Diseinu Nazionalaren Sariarekin saritua izan da, kategoria profesionalean.","Graduado en Diseño Industrial por la Escuela Universitaria de Diseño e Ingeniería de Barcelona (ELISAVA), ha sido galardonado con el Premio Nacional de Diseño 2016 en la categoría profesional.","Graduado en Diseño Industrial por la Universidad de Diseño e Ingeniería de Barcelona (ELISAVA), premiado con el Premio del Diseño Nacional 2016 en categoría profesional."
Ingeniaritza Mekanikoko eta Enpresen Administrazio eta Zuzendaritzako Gradu Bikoitza berria da estatu osoan.,El Doble Grado en Ingeniería Mecánica y en Administración y Dirección de Empresas es una titulación novedosa en todo el Estado.,Nuevo Grado en Ingeniería Mecánica y Dirección de Empresas en todo el Estado.
"Gasaren, instalazio elektrikoaren eta berogailuen ingeniaritzako berariazko proiektu teknikoak.","Proyectos técnicos de ingeniería específicos de gas, instalación eléctrica y de calefacción.","Proyectos técnicos específicos de ingeniería de gas, instalación eléctrica y calefacción."
"Altzairuzko habeen profil mota, eta hauen ezaugarriak, ingeniaritzan eta arkitekturan izango duten aplikazioa eta erabilpena aukeratzeko erabakigarriak dira.","El tipo de perfil de las vigas de acero, y las cualidades que estas tengan, son determinantes a la elección para su aplicación y uso en la ingeniería y arquitectura.",El tipo de perfil de las vigas de acero y sus características son determinantes para elegir su aplicación y utilización en ingeniería y arquitectura.
Euskal Herriko Mugarik Gabeko Ingeniaritza Amassunu Formazioa,Programa de Viviendas Ingeniería Sin Fronteras País Vasco Amassunu Formación,Formación Amassun de Ingeniería sin Fronteras del País Vasco
Ingeniaritza kimikoa eta ingurumenaren ingeniaritza (1),Ingeniería química y del medio ambiente [1],Ingeniería Química y del Medio Ambiente (1)
"Informatikako Ingeniaritzako, Telekomunikazio Sistemen Ingeniaritzako eta Industria Diseinuko eta Produktuaren Garapeneko Ingeniaritzako Egokitzapen Ikastaroa","Curso de Adaptación de Ingeniería Informática, Ingeniería de Sistemas de Telecomunicación e Ingeniería en Diseño Industrial y Desarrollo de Producto","Curso de Acondicionamiento de la Ingeniería en Informática, Ingeniería en Sistemas de Telecomunicación y Diseño Industrial y Desarrollo de Producto"
"22:45ean, hiru bideo proiektatuko dituzte Plentziako Itsas Estazioan: Perseidas, ¿qué es la lluvia de estrellas? (euskaraz eta gaztelaniaz), Meteor showers (euskaraz eta gaztelaniaz) eta Cosmic eye. Jesus Romo Uriarte Bilboko Ingeniaritza Eskolako irakasleak eta Jaio de la Puerta Naukaseko kideak aurkeztuko dituzte pelikulak.","A las 22:45 proyectarán tres vídeos en la estación: Perseidas, ¿qué es la lluvia de El profesor de la Escuela de Ingeniería de Bilbao Jesús Romero Uriarte y la colaboradora de Naukas Jaio de la Puerta presentarán las películas.","A las 22:45 se proyectarán tres vídeos en la Estación Marítima de Plentzia: Perseidas, ¿qué es la lluvia de las estrellas? (en euskera y castellano), Meteor showers (en euskera y castellano) y Cosmic eye."
Ingeniaritza Kimikoa Saila,Grado en Ingeniería Química,Dpto. Ingeniería Química
"Kasu errealekin ikasiko duzu, industrian diharduten irakasleen eskutik. Azalpenak, lanak, aplikazioko ariketak, hausnarketak eta baterako eztabaidek lagunduko diete ikasleei unibertsitateko gradudun horrek izan behar dituzten gaitasunak eta Industria Diseinuko Ingeniaritzako ezagutzak eta trebetasunak garatzen.","La realización de exposiciones, trabajos, ejercicios de aplicación, reflexiones y discusiones conjuntas… permitirán a los estudiantes desarrollar las necesarias competencias propias de un graduado universitario y los conocimientos y destrezas de la Ingeniería en Diseño Secretaría y resto de profesores.","Aprenderás con casos reales, de la mano de profesores que trabajan en la industria. Las explicaciones, trabajos, ejercicios de aplicación, reflexiones y debates conjuntos ayudarán a los alumnos a desarrollar las capacidades y conocimientos de Ingeniería en Diseño Industrial de ese graduado universitario."
Code & Syntax Interneterako hizkuntza ingeniaritza.,"Diseño, programación y servicios para Internet.",Code & Syntax Ingeniería lingüística para Internet.
Basqueresearch.com: Berriak - Eva Ibarrola ikertzaileak jaso du telekomunikazio ingeniaritzako espainiar tesi onenaren saria,"Basqueresearch.com: Noticias - Eva Ibarrola, recibe el premio a la mejor tesis doctoral del española de ingenieros de telecomunicación",Basqueresearch.com: Noticias - La investigadora Eva Ibarrola recibe el premio a la mejor tesis española en ingeniería de telecomunicaciones
"Eleka Ingeniaritza Linguistikoa Makinen eta pertsonen arteko komunikazioa ahalbidetzen duten teknologiak garatzen ditugu, besteak beste, ondoko alorretan:",Desarrollamos tecnología para facilitar la comunicación entre las máquinas y las personas y estos son los principales ámbitos en los que trabajamos:,"La Ingeniería Lingüística Eleka desarrolla tecnologías que permiten la comunicación entre máquinas y personas, entre otras, en los siguientes campos:"
"Ingeniaritza eta teknologiaren presentzia nagusi hau eskualde guztietan ikusten da. Salbuespena Arabako Mendialdea da, non %73,6 zientzia mediko eta farmazeutikoetara joaten den.","Esta presencia mayoritaria de la ingeniería y tecnología se observa en todas las comarcas, con la única excepción de la Montaña Alavesa que dedica el 73,6% a las ciencias médicas y farmacéuticas.","La presencia principal de la ingeniería y la tecnología se observa en todas las comarcas, la excepción es la Montaña Alavesa, donde un 7,6% acude a ciencias médicas y farmacéuticas."
Ingeniaritza ikasketak burutzea hautatu nuen eta Gradu Amaierako Proiektua Kongoko Errepublika Demokratikoan burutu nuen.,Decidí cursar estudios de Ingeniería y realicé el proyecto fin de carrera en la Républica democrática del Congo.,Escogí los estudios de ingeniería y completé el Proyecto de Fin de Grado en la República Democrática del Congo.
"Bazkidea eta Zuzendaria Ainhoa Zatarain naiz. Industria Antolaketako Ingeniaritzan lizentziatua naiz Nafarroako Unibertsitatean (TECNUN), eta Deustuko Unibertsitateko Executive MBArekin osatu nituen nire ikasketak (ESTE, 2004).","He combinado mi actividad de consultor con la docencia en la Universidad de Deusto desde 1992 y en la actualidad soy miembro del Comité de TECNUN), completando mi formación con el MBA Executive de Universidad de Deusto (ESTE, 2004).","Soy socia y directora Ainhoa Zatarain, licenciada en Ingeniería en Organización Industrial por la Universidad de Navarra (TECNUN), y completé mis estudios con Executive MBA de la Universidad de Deusto (ESSTE, 2004)."
IDEKO-IK4k proiektuan duen zeregina Diseinu eta Doitasuneko Ingeniaritza lerroak garatzen dituen jarduerekin bat dator erabat.,"El rol de IK4-IDEKO en el proyecto encaja plenamente en las actividades desarrolladas por la línea Diseño e Ingeniería de Ultraprecisión, una de las 8 líneas de investigación en las que se estructura la actividad del centro tecnológico.",La función de IDE-IK4 en el proyecto coincide plenamente con las actividades que desarrolla la línea de Ingeniería de Diseño y Ajuste.
Doktorego ikasketak - Ingeniaritza Mekanikoa Saila - UPV/EHU,Máster y Doctorado - Departamento de Química Orgánica II - UPV/EHU,Estudios de doctorado - Departamento de Ingeniería Mecánica - UPV/EHU
"Milutin Milanković ""Vienako Eskola Teknikora"", gaur egun Vienako Teknologia Unibertsitatea, joan zen, non 1902an ingeniaritza zibilean graduatu zen, eta 1904an Zientzia Teknikoetako doktoretza lortu zuen.","Academia Índice ComienzosEditar Milutin Milanković concurrió a la ""Escuela Técnica de Viena"" (hoy Universidad Tecnológica de Viena) donde se gradúa en ingeniería civil en 1902, obtiene su doctorado en Ciencias Técnicas en 1904.","Milutin Milkoviá fue a la ""Escuela Técnica de Viena"", actualmente Universidad de Tecnología de Viena, donde en 1902 se graduó en Ingeniería Civil y en 1904 obtuvo el doctorado en Ciencias Técnicas."
"ECTS kopurua: 6,0 | Titulua: MEKANIKAKO INGENIARITZA GRADUA","ECTS: 6,0 | Título: GRADO EN INGENIERÍA EN ORGANIZACIÓN INDUSTRIAL","No ECTS: Título 6,0 19: INGENIERÍA GRADUA DE MECÁNICA"
"Informatika Ingeniaritza berriaren ondorioz, euskarazko eskaintza areagotu egin zen.",El diseño de la Ingeniería Informática trajo consigo la ampliación de la oferta docente en euskera.,"Como consecuencia de la nueva Ingeniería Informática, la oferta en euskera se amplió."
Irizar eta Tecnunek hitzarmena sinatu dute ingeniaritzako ikasleen formazioan lankidetzan aritzeko 2017ko apirila,Irizar y Tecnun firman un convenio para colaborar en la formación de los estudiantes de ingeniería abril 2017,Irizar y Tecnun firman un convenio para colaborar en la formación del alumnado de ingeniería abril de 2017
"Apirilak 15ean eta Ardatz Atlantikon kostaldeko arriskuen kudeaketaren inguruko ANCORIM proiektuaren barruan, Porto-ko Ingeniaritza fakultateak antolaturiko bisita bat egingo da Esmoriz eta Cortegaça aldera.","El 15 de abril, en el marco del proyecto ANCORIM, sobre gestión de riesgos costeros en el Espacio Atlántico, tendrá lugar una visita organizada por la Facultad de área vulnerable y de alto riesgo, propensa a las inundaciones.","El 15 de abril y dentro del proyecto ANCORIM sobre gestión de riesgos costeros en el eje Atlántico, se realizará una visita a Esmoriz y Cortegaça organizada por la Facultad de Ingeniería de Porto."
Industria Antolaketako Ingeniaritzako Unibertsitate Masterra,Máster Universitario en Ingeniería en Organización Industrial,Máster Universitario en Ingeniería en Organización Industrial
"Ingeniaritza ikasketak egin ondoren jarraitu zituen Euskal Filologia Ikasketak, Koldo Mitxelenaren (1915-1987) ikasle nagusia izan zelarik.","Licenciado en Ingeniería, continuó sus estudios de Filologlía Vasa con el maestro Koldo Mitxelenaren (1915-1987).","Tras los estudios de Ingeniería continuó los Estudios de Filología Vasca, siendo el principal estudiante de Koldo Mitxelena (1915-1987)."
"Bi ordu geroago, Seung-Huik Norris Hallen hasi zen tiroka, hasierako geletatik 600 metrora, Ingeniaritzako eraikuntzan, eta 30 pertsona hil eta 29 zauritu arte ez zen geratu.","Dos horas después, Seung-Hui disparó en uno de los salones de clases del Norris Hall, edificio de la carrera de ingeniería, ubicado a unos 600 m del complejo de habitaciones, provocando 30 muertos y 29 heridos.[5]","Dos horas después, Seung-Hui empezó a disparar en Norris Hall, a 600 metros de las habitaciones iniciales, en la construcción de Ingeniería, y no se quedó hasta que murió 30 personas y le hirieron 29."
"Mondragon Unibertsitateak 2016ko abenduan eta 2017ko ekainean ateak irekitzeko 39 jardunaldi egingo ditu, lau fakultateen ingeniaritzaren, enpresagintzaren, humanitateen eta gastronomiaren arloetako eskaintza akademikoa aurkezteko.","Mondragon Unibertsitatea organiza entre enero y junio 36 jornadas de Puertas Abiertas para presentar su oferta académica vinculada a los ámbitos de ingeniería, empresariales, humanidades y gastronomía a través de sus cuatro facultades.","Mondragon Unibertsitatea celebrará 39 jornadas de apertura de puertas en diciembre de 2016 y junio de 2017, para presentar la oferta académica en las áreas de ingeniería, empresaría, humanidades y gastronomía de cuatro facultades."
"Zientzia, teknologia, ingeniaritza eta matematikak sustatzeko dibulgazio-programa.","Programa divulgativo para impulsar la ciencia, tecnología, ingeniería y las matemáticas","Programa divulgativo para el fomento de la ciencia, tecnología, ingeniería y matemáticas."
